Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Portas,Final de placa,CEP,Município,Bairro,url,Cor
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE 1.6/1.6 CITY  MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Sedã,2013,103000,1.6,Flex,Manual,Hidráulica,4 portas,0,83350000,Morretes,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/voyage-2013-2014-898768495,Vermelho
"Carros, vans e utilitários",HYUNDAI HB20,HYUNDAI,,2016,53051,1.0,Flex,Manual,Hidráulica,4 portas,8,83040210,São José dos Pinhais,Cidade Jardim,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-comfort-12v-flex-4p-manual-895310315,Preto
"Carros, vans e utilitários",FORD ECOSPORT XLT 2.0/ 2.0 FLEX 16V 5P MEC.,FORD,Passeio,2005,130000,,Gasolina,Manual,Hidráulica,4 portas,0,85816302,Cascavel,Pacaembu,https://pr.olx.com.br/regiao-de-foz-do-iguacu-e-cascavel/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-xlt-2-0-2-0-flex-16v-5p-mec-869532053,Azul
"Carros, vans e utilitários",RENAULT LOGAN EXPRESSION FLEX 1.6 16V 4P,RENAULT,,2013,83000,1.6,Flex,Automático,Hidráulica,4 portas,0,81020235,Curitiba,Novo Mundo,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/renault-logan-sedan-expression-1-6-16v-hi-flex-863750645,Prata
"Carros, vans e utilitários",FORD KA 1.5 16V FLEX 5P,FORD,,2018,999,1.5,Flex,Manual,Hidráulica,4 portas,7,81020235,Curitiba,Novo Mundo,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-1-5-se-16v-flex-4p-manual-876937439,Branco
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.,GM - CHEVROLET,,2017,50000,1.4,Flex,Automático,Elétrica,4 portas,9,81710000,Curitiba,Xaxim,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cruze-ltz-1-4-16v-turbo-flex-4p-aut-893673605,Preto
"Carros, vans e utilitários",JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.,JEEP,,2021,0,1.8,Flex,Automático,Elétrica,4 portas,5,80050350,Curitiba,Cristo Rei,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/jeep-novo-renegade-sport-at6-1-8-flex-892696025,Prata
"Carros, vans e utilitários",FIAT ARGO 1.0 6V FLEX.,FIAT,Hatch,2019,40000,1.0,Flex,Manual,Elétrica,4 portas,,86010210,Londrina,Centro,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/argo-1-0-6v-flex-2019-898768223,Preto
"Carros, vans e utilitários",VOLVO XC 60 D-5 MOMENTUM 2.0 AWD DIESEL 5P,VOLVO,SUV,2017,51200,,Gasolina,Automático,,4 portas,4,84070000,Ponta Grossa,Nova Rússia,https://pr.olx.com.br/regiao-de-ponta-grossa-e-guarapuava/autos-e-pecas/carros-vans-e-utilitarios/volvo-xc-60-t5-momentum-4p-887963323,Prata
"Carros, vans e utilitários",JEEP RENEGADE LIMITED 1.8 4X2 FLEX 16V AUT.,JEEP,SUV,2020,23000,1.8,Flex,Automático,Hidráulica,4 portas,4,80610280,Curitiba,Portão,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/renegade-limited-1-8-at-2020-06-air-bags-ar-dual-zone-farol-led-couro-889595942,Cinza
"Carros, vans e utilitários",FIAT IDEA ATTRACTIVE 1.4 FIRE FLEX 8V 5P,FIAT,Passeio,2011,76000,1.4,Flex,Manual,Hidráulica,4 portas,0,81050200,Curitiba,Novo Mundo,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/fiat-ideia-attractive-1-4-flex-885668860,Branco
"Carros, vans e utilitários",RENAULT DUSTER DYNAMIQUE 1.6 FLEX 16V AUT.,RENAULT,,2019,27000,1.6,Flex,Automático,Hidráulica,4 portas,5,81690200,Curitiba,Xaxim,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-1-6-dynamique-cvt-881153698,Branco
"Carros, vans e utilitários",FORD KA 1.0 SE 12V FLEX 4P MANUAL,FORD,Passeio,2020,60887,,Flex,Manual,,4 portas,3,84045100,Ponta Grossa,Oficinas,https://pr.olx.com.br/regiao-de-ponta-grossa-e-guarapuava/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2020-2020-1-0-ti-vct-flex-se-sedan-manual-895685469,
