Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url
"Carros, vans e utilitários",HYUNDAI IX35 GL 2.0 16V 2WD FLEX AUT.,HYUNDAI,SUV,2021,11000,2.0 - 2.9,Flex,Automático,Elétrica,Preto,4 portas,5,65071750,São Luís,Cohafuma,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/ix35-gl-20-21-822248606
"Carros, vans e utilitários",GM - CHEVROLET CELTA,GM - CHEVROLET,Hatch,2003,0,1.0,Gasolina,Manual,Mecânica,Vermelho,2 portas,3,65130000,Paço do Lumiar,,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-em-outro-carro-5500-893492913
"Carros, vans e utilitários",JEEP RENEGADE SPORT 1.8 4X2 FLEX 16V AUT.,JEEP,SUV,2016,95000,1.8,Flex,Automático,,Vermelho,4 portas,8,65066659,São Luís,Turu,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/vendo-jeep-renegade-sport-1-8-4x2-flex-automatico-893474696
"Carros, vans e utilitários",FIAT SIENA CELEBRATION 1.0 FIRE FLEX 8V 4P,FIAT,Sedã,2012,94700,1.0,Flex,Manual,Hidráulica,Preto,4 portas,2,65040520,São Luís,Sacavém,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/dr-car-multimarcas-fiat-siena-celebration-893495635
"Carros, vans e utilitários",PEUGEOT ,PEUGEOT,,2013,111111,,,,,Preto,,,65036284,São Luís,Santo Antônio,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/peugeot-508-turbo-leia-a-descricao-893482363
"Carros, vans e utilitários",VW - VOLKSWAGEN KOMBI FURGÃO,VW - VOLKSWAGEN,Passeio,2006,70000,1.6,Flex,Manual,Hidráulica,Verde,4 portas,8,65075700,São Luís,Jardim Renascença,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/kombi-893477584
"Carros, vans e utilitários",TOYOTA HILUX,TOYOTA,,2014,88000,,,,,Branco,4 portas,,65000000,São Luís,,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/hilux-srv-14-14-893473596
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Passeio,2005,1000,1.0,Flex,Manual,,,4 portas,,65081517,São Luís,Vila Embratel,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/assumo-financiamento-893467229
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2011,999999,1.0,Flex,Manual,Mecânica,Branco,4 portas,4,65000000,São Luís,,https://ma.olx.com.br/regiao-de-sao-luis/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-893473187
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF,VW - VOLKSWAGEN,,2003,209645,,,Manual,,Cinza,4 portas,,65907200,Imperatriz,Nova Imperatriz,https://ma.olx.com.br/regiao-de-imperatriz-e-caxias/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-golf-2003-893459781
