Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Direção,Tipo de veículo
"Carros, vans e utilitários",FORD KA 1.0 SEL TIVCT FLEX 5P,FORD,2016,85011,1.0,Flex,Manual,Prata,4 portas,7,88130600,Palhoça,Ponte do Imaruim,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ka-1-0-sel-12v-completo-2016-884361290,Hidráulica,Hatch
"Carros, vans e utilitários",RENAULT FLUENCE SED. DYNAMIQUE 2.0 16V FLEX AUT.,RENAULT,2018,24000,2.0 - 2.9,Flex,Automático,Prata,4 portas,8,89160240,Rio do Sul,Jardim América,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/se-ligaaa-712674632,Hidráulica,Sedã
"Carros, vans e utilitários",RENAULT MEGANE G. TOUR EXTREME HI-FLEX 1.6 MEC.,RENAULT,2008,175000,1.6,Flex,Manual,Prata,4 portas,4,88134560,Palhoça,Barra do Aririú,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/megane-898787249,Hidráulica,Sedã
"Carros, vans e utilitários",MITSUBISHI PAJERO HPE FULL 3.2 4X4 T.I.DIES. 5P AUT,MITSUBISHI,2011,305000,3.0 - 3.9,Diesel,Automático,Preto,4 portas,1,89247000,Balneário Barra do Sul,,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/pajero-full-892320529,Hidráulica,Pick-up
"Carros, vans e utilitários",KIA MOTORS SPORTAGE LX 2.0 16V/ 2.0 16V FLEX  AUT.,KIA MOTORS,2018,33000,2.0 - 2.9,Flex,Automático,Branco,4 portas,7,88330825,Balneário Camboriú,Centro,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/sportage-lx-2-0-aut-2-018-897686290,Elétrica,SUV
"Carros, vans e utilitários",LAND ROVER RANGE ROVER EVOQUE DYNAMIC 2.0 AUT 5P,LAND ROVER,2013,83000,2.0 - 2.9,Gasolina,Automático,Branco,4 portas,0,89820000,Xanxerê,,https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/evoque-dynamic-2-0-si4-2013-branca-898785244,Assistida,SUV
"Carros, vans e utilitários",VW - VOLKSWAGEN SAVEIRO 1.6 MI TOTAL FLEX 8V CE,VW - VOLKSWAGEN,2010,170000,1.6,Gasolina,Manual,Branco,2 portas,6,89037140,Blumenau,Água Verde,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/salveiro-ano-2010-898784349,Mecânica,Pick-up
"Carros, vans e utilitários",FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,2010,128000,1.0,Flex,Manual,Vermelho,4 portas,5,89120000,Timbó,,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/vendo-palio-2010-economy-completo-com-ar-e-direcao-898786714,Hidráulica,Passeio
"Carros, vans e utilitários",FIAT STRADA WORKING 1.4 MPI FIRE FLEX 8V CE,FIAT,2016,156600,1.4,Flex,Manual,Branco,2 portas,8,88015310,Florianópolis,Centro,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2016-ce-completa-muito-nova-898071962,Hidráulica,Pick-up
"Carros, vans e utilitários",FIAT 500 LOUNGE AIR 1.4/ 1.4 FLEX 16V AUT.,FIAT,2013,108400,1.4,Flex,Automático,Preto,2 portas,4,89232302,Joinville,Boehmerwald,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/fiat-500-lounge-air-1-4-2013-876843070,Elétrica,Hatch
"Carros, vans e utilitários",RENAULT CAPTUR,RENAULT,2020,45191,,Flex,Automático,Branco,4 portas,4,88106102,São José,Picadas do Sul,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-captur-intense-874029139,Elétrica,
"Carros, vans e utilitários",VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,1975,89000,1.3,Gasolina,Manual,Outra,,,88020301,Florianópolis,Centro,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fusca-1300-1978-898786080,Mecânica,Antigo
"Carros, vans e utilitários",GM - CHEVROLET CORSA SUPER 1.0 MPFI / 2P E 4P,GM - CHEVROLET,1999,20000,1.0,Gasolina,Manual,Preto,4 portas,8,88119293,São José,Potecas,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-corsa-97-e-corsa-99-898785298,Hidráulica,Hatch
"Carros, vans e utilitários",CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,2019,8500,1.6,Flex,Automático,Prata,4 portas,,88034000,Florianópolis,Itacorubi,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-exclusive-1-6-automatico-898143844,Hidráulica,Hatch
"Carros, vans e utilitários",FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,FORD,2020,55600,,Flex,Manual,,4 portas,7,89520000,Curitibanos,,https://sc.olx.com.br/oeste-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2019-2020-1-0-ti-vct-flex-se-sedan-manual-875816403,,Passeio
"Carros, vans e utilitários",PEUGEOT 206 MOONLIGHT 1.4 FLEX 8V 5P,PEUGEOT,2008,137000,1.4,Flex,Manual,Prata,4 portas,7,88490000,Paulo Lopes,,https://sc.olx.com.br/florianopolis-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/peugeot-206-moonlight-1-4-881622098,Hidráulica,Hatch
