Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url
"Carros, vans e utilitários",GM - CHEVROLET CRUZE HB SPORT LT 1.8 16V FLEXP. 5P MEC,GM - CHEVROLET,Hatch,2013,103000,1.8,Flex,Automático,Hidráulica,Branco,4 portas,7,77410630,Gurupi,Parque Residencial São Paulo,52900.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/cruze-lt-hatch-2013-13-875842613
"Carros, vans e utilitários",FIAT UNO,FIAT,Hatch,2011,117000,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,3,77803110,Araguaína,Setor Central,23000.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/uno-vicance-1-0-875856809
"Carros, vans e utilitários",PEUGEOT 206 ALLURE 1.6 FLEX 16V 3P,PEUGEOT,Sedã,2005,254788,1.4,,Manual,Hidráulica,Prata,4 portas,4,77700000,Guaraí,,12000.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/vendo-pegouet-206-875836551
"Carros, vans e utilitários",GM - CHEVROLET S10,GM - CHEVROLET,Hatch,2014,125000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,,77000000,Palmas,,84000.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/s10-875816500
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,Sedã,2012,114,1.8,Flex,Automático,Hidráulica,Prata,4 portas,9,77020574,Palmas,Plano Diretor Sul,47000.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/vendo-cruze-2012-completo-875785418
"Carros, vans e utilitários",HONDA CIVIC,HONDA,,2020,0,,,,,,4 portas,,77410010,Gurupi,Setor Central,0.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/carro-875825032
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,Sedã,2012,161823,1.8,Flex,Automático,Elétrica,,4 portas,3,77060032,Palmas,Jardim Aureny IV,45000.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/cruze-lt-automatico-2012-vendo-ou-troco-875773432
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP EXEC. 2.8 4X2 CD TB INT.DIES,GM - CHEVROLET,Passeio,2003,0,2.0 - 2.9,Diesel,Manual,Hidráulica,Branco,4 portas,6,77665000,Barrolândia,,28000.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/s10-diesel-2003-875753373
"Carros, vans e utilitários",IVECO DAILY CITY 30S13 CHASSI 2P (DIESEL),IVECO,Van/Utilitário,2001,11111111,4.0 ou mais,Diesel,Manual,Hidráulica,Amarelo,2 portas,0,77650000,Miracema do Tocantins,,50000.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-onibus-875690906
"Carros, vans e utilitários",TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.,TOYOTA,Pick-up,2019,97000,2.0 - 2.9,Diesel,Automático,Elétrica,Preto,4 portas,3,77816440,Araguaína,Setor Oeste,220000.0,https://to.olx.com.br/tocantins/autos-e-pecas/carros-vans-e-utilitarios/hilux-srx-semi-nova-2019-875703591
