Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url
"Carros, vans e utilitários",GM - CHEVROLET ONIX SED. PLUS PREM. 1.0 12V TB FLEX AUT,GM - CHEVROLET,Sedã,2020,30000,1.0,Flex,Automático,Elétrica,Branco,4 portas,6,69307274,Boa Vista,Paraviana,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-881881098
"Carros, vans e utilitários",TOYOTA COROLLA XEI 1.8/1.8 FLEX 16V AUT.,TOYOTA,Sedã,2009,146400,1.8,Flex,Automático,Hidráulica,Preto,4 portas,4,69317513,Boa Vista,Cidade Satélite,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-881873103
"Carros, vans e utilitários",GM - CHEVROLET ZAFIRA COMFORT 2.0 MPFI FLEXPOWER 8V 5P,GM - CHEVROLET,Passeio,2011,0,,Flex,Manual,Hidráulica,Preto,4 portas,,69314418,Boa Vista,Nova Canaã,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/zafira-881849020
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 POWER 16V 76CV 4P,VW - VOLKSWAGEN,Passeio,2005,33000,1.0,Gasolina,Automático,Hidráulica,Cinza,4 portas,4,69314635,Boa Vista,Jardim Tropical,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/gol-g3-2005-em-dias-881838516
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC,GM - CHEVROLET,,2005,150962,1.6,Gasolina,Manual,Mecânica,Branco,4 portas,2,69316022,Boa Vista,Raiar do Sol,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/troco-por-carro-aberto-881809847
"Carros, vans e utilitários",GM - CHEVROLET BLAZER JIMMY 4.3 V6,GM - CHEVROLET,Conversível,1982,147000,1.8,,Manual,Hidráulica,Cinza,2 portas,5,69312302,Boa Vista,Asa Branca,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/casa-com-ponto-comercial-881800488
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2006,10000,1.0,Gasolina,Manual,Mecânica,Branco,4 portas,4,69315666,Boa Vista,São Bento,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-um-carro-gol-881777526
"Carros, vans e utilitários",GM - CHEVROLET CORSA FURGÃO 1.6 MPFI POWERTECH 92CV,GM - CHEVROLET,Passeio,2000,0,1.6,Gasolina,Manual,Elétrica,Branco,4 portas,5,69312310,Boa Vista,Asa Branca,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/corsa-no-ponto-de-transferir-881781502
"Carros, vans e utilitários",GM - CHEVROLET BLAZER S-10 4.3 V6,GM - CHEVROLET,SUV,1997,500000,4.0 ou mais,Gasolina,Manual,Hidráulica,Verde,4 portas,4,69311117,Boa Vista,Cauamé,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/blazer-v6-procura-se-para-regularizar-doc-881773979
"Carros, vans e utilitários",HYUNDAI SANTA FE GLS 2.7 V6 4X4TIPTRONIC,HYUNDAI,SUV,2008,1,2.0 - 2.9,Gasolina,Automático,Hidráulica,Prata,4 portas,,69306665,Boa Vista,São Pedro,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/santa-fe-881776726
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2004,184257,1.0,Gasolina,Manual,Hidráulica,Prata,4 portas,3,69309172,Boa Vista,Buritis,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/corsa-881761871
"Carros, vans e utilitários",GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,Sedã,2017,180000,1.8,Flex,Manual,Elétrica,Azul,4 portas,3,69313615,Boa Vista,Caranã,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/carro-colbat-881759215
"Carros, vans e utilitários", ,,,1980,20000000,,,,,,,,69380000,Bonfim,,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vende-se-ou-troca-881732276
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2003,0,1.6,Flex,Manual,Hidráulica,Preto,4 portas,9,69318736,Boa Vista,Dr. Airton Rocha,https://rr.olx.com.br/roraima/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-1-6-ap-881676460
