Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,price,url,Bairro
"Carros, vans e utilitários",FORD TITANIUM 1.6 POWERSHIFT AUT.,FORD,Hatch,2017,54600,1.6,Flex,Automático,Elétrica,Branco,4 portas,9,58400048,Campina Grande,54450.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/new-fiesta-titanium-2017-top-895712380,Centro
"Carros, vans e utilitários",VW - VOLKSWAGEN SAVEIRO HIGHLINE 1.6 T. FLEX 8V CD,VW - VOLKSWAGEN,Pick-up,2015,79000,1.6,Flex,Manual,Hidráulica,Branco,2 portas,0,58400048,Campina Grande,55990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/saveiro-2015-cd-highline-completa-895711242,Centro
"Carros, vans e utilitários",VW - VOLKSWAGEN FOX 1.0 MI TOTAL FLEX 8V 3P,VW - VOLKSWAGEN,Hatch,2009,189103,1.0,Flex,Manual,Hidráulica,Cinza,2 portas,4,58051840,João Pessoa,15000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/carro-fox-2009-emplacado-2-portas-895710827,Bancários
"Carros, vans e utilitários",FIAT STRADA 1.4 MPI FIRE FLEX 8V CS,FIAT,Pick-up,2006,160000,1.4,Flex,Manual,Hidráulica,Branco,2 portas,3,58056600,João Pessoa,27500.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/strada-1-4-2006-completa-895706863,Mangabeira
"Carros, vans e utilitários",CITROEN C3 PICASSO GLX 1.6 FLEX 16V 5P MEC.,CITROEN,Hatch,2012,114000,1.6,Flex,Manual,Hidráulica,Prata,4 portas,4,58026117,João Pessoa,28900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-picasso-2012-manual-895709866,Padre Zé
"Carros, vans e utilitários",FIAT PALIO WAY 1.0 FIRE FLEX 8V 5P,FIAT,Hatch,2016,92000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,9,58051380,João Pessoa,29500.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-fire-way-em-otimo-estado-874931277,Bancários
"Carros, vans e utilitários",VW - VOLKSWAGEN KOMBI LOTAÇÃO 1.4 MI TOTAL FLEX 8V,VW - VOLKSWAGEN,Van/Utilitário,2009,32463,1.4,Flex,Manual,Mecânica,Branco,,6,58083505,João Pessoa,23000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/kombe-895702569,Indústrias
"Carros, vans e utilitários",FIAT PALIO 1.0 ECONOMY FIRE FLEX 8V 4P,FIAT,Hatch,2013,75000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,2,58064390,João Pessoa,26900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/palio-fire-flex-economy-8v-4p-895702725,Valentina de Figueiredo
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2014,124369,1.0,Flex,Manual,Hidráulica,Preto,4 portas,4,58090217,João Pessoa,25000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vende-se-clasic-895701636,Alto do Mateus
"Carros, vans e utilitários",FORD KA 1.0 SE 12V FLEX 4P MANUAL,FORD,Hatch,2020,40000,1.0,Flex,Manual,Elétrica,Cinza,4 portas,9,58310000,Cabedelo,46900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-2020-licenciado-2021-895701730,
"Carros, vans e utilitários",GM - CHEVROLET CELTA LIFE/ LS 1.0 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2009,148000,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,0,58400036,Campina Grande,19500.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/celta-life-2009-895695047,Centro
"Carros, vans e utilitários",FIAT MOBI LIKE 1.0 FIRE FLEX 5P.,FIAT,Passeio,2019,126000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,9,58040440,João Pessoa,37900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/mobi-like-2019-870215735,Torre
"Carros, vans e utilitários",FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P,FIAT,Hatch,2012,175000,1.0,Flex,Manual,Hidráulica,Preto,2 portas,6,58040440,João Pessoa,19900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/uno-mille-economy-extra-completo-870214141,Torre
"Carros, vans e utilitários",FIAT PALIO CELEBRATION 1.0 FIRE FLEX 8V 4P,FIAT,Hatch,2015,1,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,5,58013360,João Pessoa,29800.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/palio-fire-celebration-2015-895693201,Centro
"Carros, vans e utilitários",HYUNDAI HB20 COMFORT PLUS 1.0 TB FLEX 12V MEC.,HYUNDAI,Hatch,2019,0,1.0,Flex,Manual,Elétrica,Branco,4 portas,2,58310000,Cabedelo,49900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2019-1-0-extra-823956671,
"Carros, vans e utilitários",FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P,FIAT,Hatch,2007,156668,1.0,Flex,Manual,Hidráulica,Preto,,7,58067090,João Pessoa,12000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/uno-2007-2008-895691153,Gramame
"Carros, vans e utilitários",RENAULT SANDERO,RENAULT,,2016,57000,,Flex,Manual,Hidráulica,Preto,4 portas,0,58051590,João Pessoa,34870.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/renault-sandero-expression-1-0-16v-2016-novinho-895691274,Jardim Cidade Universitária
"Carros, vans e utilitários",FORD FIESTA 1.6 8V FLEX/CLASS 1.6 8V FLEX 5P,FORD,Hatch,2013,1,1.6,Flex,Manual,Hidráulica,Preto,4 portas,4,58013360,João Pessoa,25990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/fiesta-hacth-class-1-6-completo-895681938,Centro
"Carros, vans e utilitários",FORD FIESTA SE 1.6 16V FLEX 5P,FORD,Hatch,2013,95000,1.6,Flex,Manual,Hidráulica,Vermelho,4 portas,3,58433241,Campina Grande,27000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-1-6-2013-895684557,Malvinas
"Carros, vans e utilitários",HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,,2019,52000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,8,58040300,João Pessoa,54900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-6-comfort-2019-895683124,Torre
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE TREND 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Sedã,2009,150000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,2,58200000,Guarabira,23990.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/voyage-trend-1-0-flex-completo-top-ano-2009-bem-conservado-ipva-2021-pago-895679417,
"Carros, vans e utilitários",CHERY QQ,CHERY,,2012,5000,,,,,Verde,4 portas,,58059417,João Pessoa,5000.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/vendo-895672303,Mangabeira
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE 1.6 MSI FLEX 8V 4P,VW - VOLKSWAGEN,Passeio,2020,48319,,Flex,Manual,,,4 portas,2,58040560,João Pessoa,55900.0,https://pb.olx.com.br/paraiba/autos-e-pecas/carros-vans-e-utilitarios/voyage-2019-2020-1-6-msi-totalflex-4p-manual-888046032,Torre
