Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Tipo,Novo/Usado
"Carros, vans e utilitários",RENAULT DUSTER EXPRESSION 1.6 HI-FLEX 16V MEC.,RENAULT,,2012,129000,,Flex,Manual,,Cinza,4 portas,,15040300,São José do Rio Preto,Jardim Residencial Vetorasso,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/renault-duster-2012-1-6-expression-4x2-16v-flex-4p-manual-880239463,,
"Carros, vans e utilitários",RENAULT MEGANE SEDAN DYNAMIQUE 2.0 16V AUT.,RENAULT,Sedã,2006,131000,2.0 - 2.9,Gasolina,Automático,Hidráulica,Preto,4 portas,7,08490677,São Paulo,Vila Paulista II,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-megane-898724748,,
"Carros, vans e utilitários",FORD KA 1.0 S TIVCT FLEX 5P,FORD,Passeio,2019,24065,,Flex,Manual,,,4 portas,5,01206001,São Paulo,Campos Elíseos,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2018-2019-1-0-ti-vct-flex-se-plus-manual-863326347,,
"Carros, vans e utilitários",FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,FORD,Hatch,2016,107000,1.0,Flex,Manual,Elétrica,Branco,4 portas,,14800280,Araraquara,Jardim Nova América,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2016-flex-870884932,,
"Carros, vans e utilitários",KIA MOTORS SOUL 1.6/ 1.6 16V FLEX AUT.,KIA MOTORS,Passeio,2012,93000,,Flex,Automático,,,4 portas,4,14020000,Ribeirão Preto,Vila Seixas,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/kia-soul-2011-2012-1-6-ex-16v-flex-4p-automatico-885489621,,
"Carros, vans e utilitários",LAND ROVER RANGE ROVER EVOQUE DYNAMIC 2.0 AUT 5P,LAND ROVER,SUV,2015,70000,2.0 - 2.9,Gasolina,Automático,Elétrica,Preto,4 portas,3,12242000,São José dos Campos,Jardim das Colinas,https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/land-rover-evoque-dynamic-2-0-aut-844456923,,
"Carros, vans e utilitários",GM - CHEVROLET MONTANA LS 1.4 ECONOFLEX 8V 2P,GM - CHEVROLET,,2016,72000,,Flex,Manual,,Branco,2 portas,,15040300,São José do Rio Preto,Jardim Residencial Vetorasso,https://sp.olx.com.br/regiao-de-sao-jose-do-rio-preto/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-montana-2016-1-4-mpfi-ls-cs-8v-flex-2p-manual-884219255,,
"Carros, vans e utilitários",MITSUBISHI PAJERO TR4 2.0/ 2.0 FLEX 16V 4X4 AUT.,MITSUBISHI,SUV,2009,101000,,Flex,Automático,Hidráulica,Preto,4 portas,5,14400008,Franca,Centro,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-pajero-tr4-2-0-4x4-16v-140cv-2009-877011793,,
"Carros, vans e utilitários",VW - VOLKSWAGEN AMAROK HIGH.CD 2.0 16V TDI 4X4 DIES. AUT,VW - VOLKSWAGEN,,2019,38626,2.0 - 2.9,Diesel,Automático,,Branco,4 portas,3,18025000,Sorocaba,Vila Assis,https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/amarok-cd-4x4-entrada-facilitada-768145671,,
"Carros, vans e utilitários",HYUNDAI HB20 UNIQUE 1.0 FLEX 12V MEC.,HYUNDAI,,2019,30780,1.0,Flex,Manual,,Prata,4 portas,,11726000,Praia Grande,Sítio do Campo,https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-unique-12v-flex-4p-manual-887150059,,
