Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url,Tipo de veículo
"Carros, vans e utilitários",AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,2016,66748,1.4,Gasolina,Automático,Elétrica,Branco,4 portas,,95700362,Bento Gonçalves,Cidade Alta,104900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/audi-q3-1-4-attraction-s-line-tsfi-impecavel-864508162,SUV
"Carros, vans e utilitários",FIAT STRADA,FIAT,2013,112294,,Flex,Manual,Hidráulica,Prata,2 portas,4,99500000,Carazinho,,39900.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-1-4-working-ce-flex-895368379,
"Carros, vans e utilitários",GM - CHEVROLET CELTA,GM - CHEVROLET,2013,89000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,,95080190,Caxias do Sul,Exposição,23990.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/celta-lt-1-0-direcao-hidraulica-2013-4-portas-848090633,
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. MAXX 1.0 8V FLEXPOWER 4P,GM - CHEVROLET,2010,209600,1.0,Flex,Manual,Hidráulica,Branco,4 portas,7,94070000,Gravataí,Bom Princípio,20900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/prisma-2010-maxx-1-0-completo-890860190,Passeio
"Carros, vans e utilitários",LIFAN X60 1.8 16V 128CV 5P MEC.,LIFAN,2016,27000,1.8,Flex,Manual,Hidráulica,Branco,4 portas,6,93320105,Novo Hamburgo,Pátria Nova,48900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/lifan-x60-talent-4p-878378459,SUV
,,,,,,,,,,,,,,,,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/logan-1-6-expression-8v-856798926,
"Carros, vans e utilitários",RENAULT SANDERO STEPWAY HI-FLEX 1.6 16V 5P,RENAULT,2013,0,1.6,Flex,Manual,Hidráulica,Vermelho,4 portas,0,93210240,Sapucaia do Sul,Primor,36800.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/sandero-stepway-1-6-2013-888769445,Hatch
"Carros, vans e utilitários",FORD FOCUS 1.6 S/SE/SE PLUS FLEX 8V/16V  5P,FORD,2018,29000,,Flex,Manual,Elétrica,Preto,4 portas,,99051380,Passo Fundo,Petrópolis,68000.0,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/focus-se-plus-2018-898644825,
"Carros, vans e utilitários",HYUNDAI HB20X STYLE 1.6 FLEX 16V AUT.,HYUNDAI,2016,39000,1.6,Flex,Automático,Hidráulica,Branco,4 portas,2,90610001,Porto Alegre,Partenon,58900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20x-1-6-flex-automatico-2016-com-apenas-39-000km-886903598,Hatch
"Carros, vans e utilitários",HONDA CIVIC SEDAN EX 2.0 FLEX 16V AUT.4P,HONDA,2018,83000,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 portas,9,91030370,Porto Alegre,Passo da Areia,103900.0,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-ex-aut-flex-impecavel-895146024,Sedã
