Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url
"Carros, vans e utilitários",HYUNDAI HB20 COMFORT PLUS 1.0 TB FLEX 12V MEC.,HYUNDAI,Hatch,2019,25304,1.0,Flex,Manual,Elétrica,Prata,4 portas,7,87053025,Maringá,Jardim Paraíso,53500.0,https://pr.olx.com.br/regiao-de-maringa/autos-e-pecas/carros-vans-e-utilitarios/hb20-confort-plus-2019-898703977
"Carros, vans e utilitários",FORD ECOSPORT TITANIUM 1.5 12V FLEX 5P AUT.,FORD,SUV,2020,20000,,Flex,Automático,Hidráulica,Branco,4 portas,9,87207006,Cianorte,Zona de Armazém,89990.0,https://pr.olx.com.br/regiao-de-maringa/autos-e-pecas/carros-vans-e-utilitarios/ecosport-titanium-1-5-2020-869921721
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,Sedã,2012,120000,1.8,Flex,Automático,Hidráulica,Preto,,,86010200,Londrina,Centro,47800.0,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/cruze-sedan-lt-2012-automatico-completo-revisado-periciado-898704060
"Carros, vans e utilitários",GM - CHEVROLET PRISMA SED. LT 1.4 8V FLEXPOWER 4P,GM - CHEVROLET,Sedã,2016,84000,1.4,Flex,Manual,Hidráulica,Cinza,4 portas,9,86027620,Londrina,Vila Santa Terezinha,47900.0,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/prisma-lt-1-4-2016-unico-dono-parcelamos-em-ate-18x-no-cartao-de-credito-894024572
"Carros, vans e utilitários",TOYOTA COROLLA GLI 1.8 FLEX 16V  AUT.,TOYOTA,Sedã,2018,87000,1.8,Flex,Automático,Elétrica,Prata,4 portas,9,86027620,Londrina,Vila Santa Terezinha,79900.0,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/corolla-gli-1-8-2018-top-entrada-em-ate-18x-no-cartao-de-credito-895901725
"Carros, vans e utilitários",CITROEN C3 PICASSO EXCL. 1.6 FLEX 16V 5P AUT.,CITROEN,,2012,83163,1.6,Flex,Automático,Elétrica,Vermelho,4 portas,6,81010000,Curitiba,Lindóia,36900.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/citroen-c3-picasso-exclusive-1-6-flex-16v-5p-aut-892157827
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LT 1.8 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,,2014,110000,1.0,Flex,Automático,Hidráulica,Prata,4 portas,9,86192550,Cambé,Jardim São José,52900.0,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cruze-lt-nb-866107935
"Carros, vans e utilitários",PEUGEOT BOXER 2.8 VAN DIESEL/TB DIESEL 15L/16L,PEUGEOT,Van/Utilitário,2014,84000,2.0 - 2.9,Diesel,Manual,Hidráulica,Preto,4 portas,8,87050280,Maringá,Zona 08,73900.0,https://pr.olx.com.br/regiao-de-maringa/autos-e-pecas/carros-vans-e-utilitarios/peugeot-boxer-16-lugar-864536757
"Carros, vans e utilitários",HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,HYUNDAI,Hatch,2017,39200,1.0,Flex,Manual,Hidráulica,Prata,4 portas,5,80045235,Curitiba,Alto da Rua XV,47900.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/hb20-2017-2017-1-0-confort-com-39200-km-891569420
"Carros, vans e utilitários",NISSAN KICKS ADVANCE 1.6 16V FLEX AUT,NISSAN,,2022,1,1.6,Flex,Automático,Mecânica,Azul,4 portas,0,81670080,Curitiba,Boqueirão,111990.0,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-1-6-advance-cvt-p-plus-881504382
