Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url
"Carros, vans e utilitários",PEUGEOT 207 SEDAN PASSION XR 1.4 FLEX 8V 4P,PEUGEOT,Sedã,2011,137000,1.4,Flex,Manual,Hidráulica,Cinza,4 portas,1,37130828,Alfenas,Jardim Aeroporto,20000.0,https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/peugeot-passion-207-898777408
"Carros, vans e utilitários",TOYOTA ETIOS X 1.3 FLEX 16V 5P MEC.,TOYOTA,Hatch,2014,112000,1.3,Flex,Manual,Elétrica,Prata,4 portas,7,32310370,Contagem,Eldorado,32000.0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-1-3-completo-896022526
"Carros, vans e utilitários",VW - VOLKSWAGEN VIRTUS COMFORT. 200 TSI 1.0 FLEX 12V AUT,VW - VOLKSWAGEN,Sedã,2019,94000,1.0,Flex,Automático,Assistida,Preto,4 portas,,32310240,Contagem,Cidade Jardim Eldorado,70900.0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-virtus-2019-200-tsi-880251655
"Carros, vans e utilitários",ALFA ROMEO 2300,ALFA ROMEO,,1950 ou anterior,1,,,,,,,,31130170,Belo Horizonte,Cachoeirinha,3500.0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/alfa-romeo-antigo-carro-antigo-para-colecao-898777099
"Carros, vans e utilitários",GM - CHEVROLET CRUZE,GM - CHEVROLET,Passeio,2020,42000,1.4,Flex,Automático,Hidráulica,Cinza,4 portas,6,35700214,Sete Lagoas,Piedade,99990.0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-cruze-2020-1-4-turbo-lt-16v-flex-4p-automatico-883486093
"Carros, vans e utilitários",VW - VOLKSWAGEN VIRTUS HIGHLINE 200 TSI 1.0 FLEX 12V AUT,VW - VOLKSWAGEN,Sedã,2019,24500,1.0,Flex,Automático,Elétrica,Prata,4 portas,4,35041861,Governador Valadares,Jardim Alvorada,82499.0,https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/autos-e-pecas/carros-vans-e-utilitarios/vw-virtus-highline-2019-892910444
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2014,80000,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,2,36051470,Juiz de Fora,Bonfim,27000.0,https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/classic-life-1-0-2014-alugo-para-rodar-em-aplicativos-867262928
"Carros, vans e utilitários",VW - VOLKSWAGEN AMAROK HIGHLINE CD 2.0 16V TDI 4X4 DIES.,VW - VOLKSWAGEN,Passeio,2014,162500,,Diesel,Automático,,,4 portas,9,36080262,Juiz de Fora,São Dimas,113900.0,https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/amarok-2013-2014-2-0-highline-4x4-cd-16v-turbo-intercooler-diesel-4p-automatico-877774500
"Carros, vans e utilitários",FIAT SIENA CELEBRATION 1.0 FIRE FLEX 8V 4P,FIAT,Hatch,2009,133191,1.0,Flex,Manual,Hidráulica,Prata,4 portas,8,32235300,Contagem,Industrial,22900.0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-completo-898777145
"Carros, vans e utilitários",GM - CHEVROLET CORSA SED CLASS.LIFE 1.0/1.0 FLEXPOWER,GM - CHEVROLET,Sedã,2010,1,1.0,Flex,Manual,Mecânica,Prata,4 portas,,30750250,Belo Horizonte,Alto Caiçaras,15500.0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corsa-classic-1-0-898777157
