Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,CEP,Município,Bairro,price,url,Final de placa
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO SEDAN 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Sedã,2006,163144,1.6,Flex,Manual,Hidráulica,Prata,4 portas,78075638,Cuiabá,Jardim Imperial,19000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/polo-sedan-892044659,3
"Carros, vans e utilitários",TOYOTA ETIOS XS  1.3 FLEX 16V 5P MEC.,TOYOTA,Hatch,2013,118000,1.3,Flex,Manual,Hidráulica,Prata,4 portas,78055428,Cuiabá,Morada da Serra,36900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/etios-xs-1-3-13-13-892063601,3
"Carros, vans e utilitários",PEUGEOT 207 QUIKSILVER 1.4 FLEX 8V 3P,PEUGEOT,Passeio,2013,7800,1.4,Flex,Automático,Hidráulica,Branco,4 portas,78048715,Cuiabá,Despraiado,4000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/peugeot207-892054265,8
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2014,120000,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,4 portas,78115904,Várzea Grande,Ponte Nova,65000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/corolla-2014-892058463,7
"Carros, vans e utilitários",FIAT DOBLO ESSENCE 1.8 FLEX 16V 5P,FIAT,Van/Utilitário,2018,89000,1.8,Flex,Manual,Hidráulica,Branco,4 portas,78055428,Cuiabá,Morada da Serra,62900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/doblo-essence-17-18-892052665,9
"Carros, vans e utilitários",RENAULT DUSTER DYNAMIQUE 1.6 HI-FLEX 16V MEC.,RENAULT,SUV,2019,91740,1.6,Flex,Manual,Hidráulica,Branco,4 portas,78117440,Várzea Grande,Cristo Rei,64950.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/duster-dynamique-2019-1-6-892043100,9
"Carros, vans e utilitários",TOYOTA COROLLA XRS 2.0 FLEX 16V AUT.,TOYOTA,,2022,4275,,Flex,Automático,Elétrica,,4 portas,78065250,Cuiabá,Campo Velho,160000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/corolla-gr-s-2022-maravilhoso-modelo-esportivo-891995657,3
"Carros, vans e utilitários",FIAT STRADA 1.4 MPI FIRE FLEX 8V CS,FIAT,Pick-up,2018,110000,1.4,Flex,Manual,Hidráulica,Branco,2 portas,78050268,Cuiabá,Jardim Aclimação,45000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/strada-2018-2019-cs-887684285,8
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,,2016,90000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,78025140,Cuiabá,Porto,37000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-2016-completo-entrada-de-r-3-500-892020420,9
"Carros, vans e utilitários",FORD KA 1.0 TECNO 8V FLEX 3P,FORD,Hatch,2008,160000,1.0,Flex,Manual,Hidráulica,Cinza,2 portas,78055794,Cuiabá,Jardim Vitória,9500.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ford-k-2008-08-flex-1-0-completo-891994557,1
"Carros, vans e utilitários",GM - CHEVROLET MONTANA 1.8/ 1.8 CONQUEST FLEXPOWER 8V,GM - CHEVROLET,Conversível,2004,1,1.8,Flex,Manual,Hidráulica,Branco,2 portas,78030050,Cuiabá,Jardim Primavera,18000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/montana-1-8-2004-891941752,2
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP LS 2.8 TDI 4X2 CS DIES. MEC.,GM - CHEVROLET,Pick-up,2013,235000,2.0 - 2.9,Diesel,Manual,Hidráulica,,,78056909,Cuiabá,Parque Residencial das Nações Indígenas,92000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/s10-cs-4x4-diesel-12-13-completa-891991329,0
"Carros, vans e utilitários",HONDA WR-V EXL 1.5 FLEXONE 16V 5P AUT.,HONDA,SUV,2017,31000,1.5,Flex,Automático,Elétrica,Cinza,4 portas,78035410,Cuiabá,Barra do Pari,76000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/vendo-891972663,5
"Carros, vans e utilitários",HYUNDAI HB20 COMF./C.PLUS/C.STYLE 1.0 FLEX 12V,HYUNDAI,Hatch,2014,82000,1.0,Flex,Manual,Hidráulica,Cinza,4 portas,78550005,Sinop,Setor Residencial Sul,36500.0,https://mt.olx.com.br/regiao-de-rondonopolis-e-sinop/autos-e-pecas/carros-vans-e-utilitarios/hb-20-891959098,1
"Carros, vans e utilitários",FIAT STRADA VOLCANO 1.3 FLEX 8V CD,FIAT,Pick-up,2022,0,1.3,Flex,Manual,Hidráulica,Branco,4 portas,78080340,Cuiabá,Parque Ohara,109000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/strada-volcano-flex-0km-modelo-2021-2022-891964478,0
"Carros, vans e utilitários",FIAT STRADA ADVENTURE 1.8 MPI 8V 103CV CE,FIAT,Pick-up,2009,12000000,1.8,Flex,Manual,Hidráulica,Cinza,2 portas,78090690,Cuiabá,Nossa Senhora Aparecida,29000.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/ha-fiat-strada-adventure-891943927,1
"Carros, vans e utilitários",HYUNDAI HB20S C.PLUS/C.STYLE 1.6 FLEX 16V MEC.4P,HYUNDAI,Sedã,2017,75000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,78090672,Cuiabá,Nossa Senhora Aparecida,50900.0,https://mt.olx.com.br/regiao-de-cuiaba/autos-e-pecas/carros-vans-e-utilitarios/hb20s-c-plus-1-6l-flex-2017-891936676,
