Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url
"Carros, vans e utilitários",HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,Hatch,2019,41158,1.6,Flex,Manual,Hidráulica,Branco,4 portas,2,29120568,Vila Velha,Aribiri,54990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/oportunidade-unica-hb20-conf-1-6-2019-2019-880414224
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO COMFORT. 200 TSI 1.0 FLEX 12V AUT.,VW - VOLKSWAGEN,Hatch,2018,13000,1.0,Flex,Automático,Elétrica,Prata,4 portas,,29162703,Serra,Planalto de Carapina,77900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/polo-tsi-1-0-turbo-2018-893468639
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2017,92000,2.0 - 2.9,Flex,Automático,Hidráulica,Branco,4 portas,0,29702805,Colatina,Adélia Giuberti,86000.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-xei-2-0-flex-894650451
"Carros, vans e utilitários",VW - VOLKSWAGEN AMAROK HIGHLINE CD 2.0 16V TDI 4X4 DIES.,VW - VOLKSWAGEN,Passeio,2016,115241,,Diesel,Automático,,,4 portas,9,29703100,Colatina,São Silvano,126900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/amarok-2015-2016-2-0-highline-4x4-cd-16v-turbo-intercooler-diesel-4p-automatico-886565674
"Carros, vans e utilitários",FIAT PALIO 1.5 MPI 8V 4P,FIAT,,2015,170,,Gasolina,Manual,,,4 portas,,29135026,Viana,Canaã,,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/vende-se-carro-ou-troco-em-lote-no-bairro-jockey-vila-velha-898687749
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.0 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2008,67805,1.0,Flex,Manual,Hidráulica,Vermelho,4 portas,4,29345000,Marataízes,,23000.0,https://es.olx.com.br/sul-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-898687755
"Carros, vans e utilitários",GM - CHEVROLET TRACKER PREMIER 1.4 TURBO 16V FLEX AUT,GM - CHEVROLET,SUV,2018,60000,1.4,Flex,Automático,Elétrica,Branco,4 portas,,29162703,Serra,Planalto de Carapina,89900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/tracker-premier-1-4-tur-md-2018-874897595
"Carros, vans e utilitários",BMW 430I CABRIOLET SPORT 2.0 TB 252CV 2P,BMW,Conversível,2017,37900,2.0 - 2.9,Gasolina,Automático,Hidráulica,Cinza,2 portas,8,29050335,Vitória,Enseada do Suá,219900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/bmw-430i-cabrio-sport-16-17-2-0-turbo-252cv-aut-877250967
"Carros, vans e utilitários",JEEP RENEGADE,JEEP,,2019,47817,,Flex,Automático,,Prata,4 portas,,29045402,Vitória,Santa Luíza,87990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-1-8-16v-flex-longitude-4p-automatico-883655509
"Carros, vans e utilitários",FORD FOCUS 2.0 16V/ 2.0 16V FLEX 5P,FORD,Hatch,2009,123,2.0 - 2.9,Gasolina,Manual,Elétrica,Preto,4 portas,6,29105460,Vila Velha,Santa Mônica Popular,28000.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/focus-2-0-completo-muito-novo-898686466
"Carros, vans e utilitários",KIA MOTORS SPORTAGE EX 2.0 16V/ 2.0 16V FLEX AUT.,KIA MOTORS,SUV,2012,0,2.0 - 2.9,Flex,Automático,Elétrica,Prata,4 portas,9,29160161,Serra,Eurico Salles,65900.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/sportage-ex2-2-0-top-de-linha-891460530
"Carros, vans e utilitários", ,,,2005,0,,,,,,,,29140835,Cariacica,Castelo Branco,12500.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/kombi-tudo-ok-898685239
"Carros, vans e utilitários",RENAULT LOGAN EXPRES./EXP. UP HI-FLEX 1.0 16V 4P,RENAULT,Sedã,2015,41000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,1,29050256,Vitória,Enseada do Suá,39990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/logan-expression-mod-2015-u-dono-41-000km-novo-impossivel-884308544
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2014,78750,1.0,Gasolina,Manual,Hidráulica,Branco,4 portas,3,29100320,Vila Velha,Centro de Vila Velha,22500.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-classic-life-ls-1-0-preco-22-500-00-pra-vender-logo-898685839
"Carros, vans e utilitários",TOYOTA COROLLA XEI 1.8/1.8 FLEX 16V AUT.,TOYOTA,Sedã,2005,106000,1.8,Gasolina,Automático,Hidráulica,Azul,4 portas,6,29395000,Ibatiba,,25400.0,https://es.olx.com.br/sul-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/toyota-corolla-898685238
"Carros, vans e utilitários",TOYOTA RAV4,TOYOTA,,2020,8000,,Flex,Automático,,Branco,4 portas,,29102023,Vila Velha,Praia de Itaparica,259990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/toyota-rav4-2-5-vvt-ie-hybrid-sx-awd-cvt-891683974
"Carros, vans e utilitários",FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT,Pick-up,2020,0,1.4,Flex,Manual,Hidráulica,Branco,2 portas,0,29140130,Cariacica,Jardim América,75523.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/strada-endurence-1-4-cs-2022-764739364
"Carros, vans e utilitários",CHRYSLER 300 M 3.5,CHRYSLER,Antigo,1950 ou anterior,0,3.0 - 3.9,Gasolina,Manual,Mecânica,Preto,4 portas,0,29103875,Vila Velha,Jockey de Itaparica,12000.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/carro-antigo-898684878
"Carros, vans e utilitários",FIAT UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P,FIAT,Passeio,2008,209450,1.0,Flex,Manual,Mecânica,Branco,4 portas,8,29930000,São Mateus,,18000.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-fire-flex-2008-897477450
"Carros, vans e utilitários",TOYOTA RAV4 2.0 4X2 16V AUT.,TOYOTA,SUV,2015,108000,2.0 - 2.9,Flex,Automático,Elétrica,Prata,4 portas,,29090060,Vitória,Jardim Camburi,85990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/toyota-rav4-2-0-automatico-multimidia-couro-nova-demais-855962072
"Carros, vans e utilitários",HYUNDAI IX35 GL 2.0 16V 2WD FLEX AUT.,HYUNDAI,SUV,2019,55000,2.0 - 2.9,Gasolina,Automático,Elétrica,Prata,4 portas,,29090060,Vitória,Jardim Camburi,94990.0,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/ix35-2-0-automatico-bancos-em-couro-multimidia-so-55-000km-rodados-nova-demais-855990494
