Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.6 MI/ 1.6I 2P,VW - VOLKSWAGEN,Antigo,1997,55,1.6,Gasolina,Manual,Mecânica,Branco,2 portas,0,69047010,Manaus,Redenção,5500.0,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/gol-bola-897621013
"Carros, vans e utilitários", ,,,2007,172000,,,,,,4 portas,,69059185,Manaus,Santa Etelvina,,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/gol-4g-897621753
"Carros, vans e utilitários",TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.,TOYOTA,Pick-up,2021,6000,2.0 - 2.9,Diesel,Automático,Hidráulica,Branco,4 portas,2,69057760,Manaus,Adrianópolis,285000.0,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/hilux-srx-2021-4x4-diesel-897620328
"Carros, vans e utilitários",VW - VOLKSWAGEN AMAROK HIGHLINE CD 2.0 16V TDI 4X4 DIES.,VW - VOLKSWAGEN,Pick-up,2016,98000,2.0 - 2.9,Diesel,Automático,Hidráulica,Branco,4 portas,5,69099644,Manaus,Cidade de Deus,,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/amarok-cd-4x4-diesel-2016-completo-entrada-30-mil-novissimo-unico-dono-ja-sai-de-veiculo-897619803
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1000I PLUS 2P,VW - VOLKSWAGEN,Antigo,1995,400,4.0 ou mais,Gasolina,Manual,Mecânica,Prata,,,69088056,Manaus,Jorge Teixeira,5000.0,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/vendo-um-gol-bola-ano-95-897618278
"Carros, vans e utilitários",CITROEN C3 EXCLUSIVE 1.4 FLEX 8V 5P,CITROEN,Hatch,2007,1,1.4,Flex,Manual,Elétrica,Vermelho,4 portas,6,69401173,Manacapuru,União,9000.0,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/citroen-897618944
"Carros, vans e utilitários",FIAT SIENA EL 1.4 MPI FIRE FLEX 8V 4P,FIAT,Sedã,2013,80000,1.4,Flex,Manual,Hidráulica,Cinza,4 portas,8,69049580,Manaus,Redenção,13000.0,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/siena-ja-financiado-897618226
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL 1.0 TREND/ POWER 8V 4P,VW - VOLKSWAGEN,Hatch,2017,220,1.0,Flex,Manual,Hidráulica,Preto,4 portas,7,69090570,Manaus,Cidade Nova,32000.0,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/gol-g6-2016-17-completo-leia-o-anuncio-897617955
"Carros, vans e utilitários",NISSAN SENTRA SL 2.0/ 2.0 FLEX FUEL 16V AUT.,NISSAN,Sedã,2016,62000,2.0 - 2.9,Flex,Automático,Elétrica,Prata,4 portas,8,69020430,Manaus,Praça 14 de Janeiro,54900.0,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/sentra-sl-2016-897616014
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE  TRENDLINE 1.0 T.FLEX 8V 4P,VW - VOLKSWAGEN,Passeio,2011,157000,1.0,Flex,Manual,Hidráulica,Prata,4 portas,9,69055021,Manaus,Parque 10 de Novembro,18000.0,https://am.olx.com.br/regiao-de-manaus/autos-e-pecas/carros-vans-e-utilitarios/vw-voyage-flex-1-0-897613516
