Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,CEP,Município,Bairro,url,Final de placa
"Carros, vans e utilitários",TOYOTA COROLLA XEI 2.0 FLEX 16V AUT.,TOYOTA,Sedã,2020,14840,2.0 - 2.9,Gasolina,Automático,Hidráulica,Branco,4 portas,76840000,Porto Velho,Jaci Paraná,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/carro-893718089,9
"Carros, vans e utilitários",FORD FIESTA SED. 1.6 8V FLEX 4P,FORD,Sedã,2011,80000,1.6,Flex,Manual,Hidráulica,Branco,4 portas,76888000,Monte Negro,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-2011-1-6-flex-banco-de-couro-893717898,
"Carros, vans e utilitários",RENAULT KWID 1.0 ZEN,RENAULT,Hatch,2018,40000,1.0,Flex,Manual,Hidráulica,Branco,4 portas,76820876,Porto Velho,Embratel,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-1-0-2018-completo-893709599,9
"Carros, vans e utilitários",HONDA FIT LXL 1.4/ 1.4 FLEX 8V/16V 5P MEC.,HONDA,Hatch,2004,203000,1.4,Gasolina,Manual,Elétrica,Preto,4 portas,76812682,Porto Velho,Três Marias,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-893724921,8
"Carros, vans e utilitários",GM - CHEVROLET CORSA HAT. JOY 1.0/ 1.0 FLEXPOWER 8V 5P,GM - CHEVROLET,Hatch,1999,888888,1.0,Gasolina,Manual,Mecânica,Vermelho,4 portas,76860000,Candeias do Jamari,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-carro-893707019,1
"Carros, vans e utilitários",MERCEDES-BENZ ,MERCEDES-BENZ,,1984,54845610,,,Manual,,,2 portas,76880000,Buritis,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/1513-boiadeiro-ano-84-893702679,8
"Carros, vans e utilitários",FIAT PALIO,FIAT,,2003,80808080,,Gasolina,,Hidráulica,Prata,4 portas,76824098,Porto Velho,Aponiã,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/palio-weekend-893689020,0
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2015,86000,1.0,Flex,Manual,Mecânica,Preto,4 portas,76808414,Porto Velho,Conceição,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/classic-2015-leia-descricao-quitado-top-893698445,7
"Carros, vans e utilitários",FIAT PALIO,FIAT,,1997,98000,1.0,Álcool,Manual,,,4 portas,76801981,Porto Velho,Centro,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/palio-vinho-edx-1-0-mpi-8v-893684589,
"Carros, vans e utilitários",FIAT PUNTO ATTRACTIVE 1.4 FIRE FLEX 8V 5P,FIAT,Hatch,2016,83100,1.4,Flex,Manual,Hidráulica,Branco,4 portas,76920000,Ouro Preto do Oeste,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/punto-1-4-893684064,5
"Carros, vans e utilitários",GM - CHEVROLET KADETT GLS 1.8 EFI / SL/E 1.8,GM - CHEVROLET,Antigo,1993,600000,,Gasolina,Manual,Mecânica,Prata,4 portas,76860000,Candeias do Jamari,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/kadett-ipanema-6000-893654460,5
"Carros, vans e utilitários",FORD PAMPA S 1.8,FORD,Antigo,1994,88888,1.8,Gasolina,Manual,Mecânica,Cinza,2 portas,76824068,Porto Velho,Aponiã,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/venda-893675908,4
"Carros, vans e utilitários",FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,FORD,Hatch,2018,36800,1.0,Flex,Manual,Elétrica,Branco,4 portas,76811534,Porto Velho,Castanheira,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-1-o-893654835,1
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE I MOTION COMF/HGHLI.1.6 T.FLEX 8V,VW - VOLKSWAGEN,Sedã,2012,114000,1.6,Flex,Semi-Automático,Hidráulica,Prata,4 portas,76805900,Porto Velho,Triângulo,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/voyage-confortline-i-motion-893653202,9
"Carros, vans e utilitários",FORD KA GL 1.0I ZETEC ROCAM,FORD,Passeio,2011,10000,,Flex,Manual,Mecânica,Vermelho,2 portas,76808530,Porto Velho,Eletronorte,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/fond-ka-2011-893652047,
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE,VW - VOLKSWAGEN,Sedã,2012,100000,,Flex,Manual,Hidráulica,Preto,4 portas,76829124,Porto Velho,Socialista,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/vendo-voyage-ano-2012-893653185,
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE COMF/HIGHLI. 1.6 MI T.FLEX 8V 4P,VW - VOLKSWAGEN,Sedã,2015,74000,1.6,Gasolina,Manual,Hidráulica,Prata,4 portas,76868000,Machadinho D'Oeste,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/voyage-1-6-novo-nada-para-fazer-893639709,3
"Carros, vans e utilitários",VW - VOLKSWAGEN GOL (NOVO) 1.6 MI TOTAL FLEX 8V 4P,VW - VOLKSWAGEN,Hatch,2018,83000,1.6,Flex,Manual,Hidráulica,Prata,4 portas,76820810,Porto Velho,Embratel,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/gol-1-6-2018-865091678,7
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.4 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Passeio,1950 ou anterior,10000000,3.0 - 3.9,Diesel,Manual,Hidráulica,Preto,2 portas,76820810,Porto Velho,Embratel,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/compra-venda-troca-com-troco-866604748,0
"Carros, vans e utilitários",FIAT GRAND SIENA ATTRAC. 1.4 EVO F.FLEX 8V,FIAT,Sedã,2014,62000,1.4,Flex,Manual,Hidráulica,Prata,4 portas,76820574,Porto Velho,Flodoaldo Pontes Pinto,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/grand-siena-1-4-completo-893635969,5
"Carros, vans e utilitários",FIAT STRADA WORKING HARD 1.4 FIRE FLEX 8V CD,FIAT,Pick-up,2015,78600,1.4,Flex,Manual,Hidráulica,Preto,2 portas,76940000,Rolim de Moura,,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/strada-workking-1-4-cd-2015-893638919,1
"Carros, vans e utilitários",GM - CHEVROLET S10 PICK-UP LTZ 2.8 TDI 4X4 CD DIES.AUT,GM - CHEVROLET,Passeio,2020,44574,,Diesel,Automático,,,4 portas,76811738,Porto Velho,Eldorado,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/s10-2020-2020-2-8-ltz-4x4-cd-16v-turbo-diesel-4p-automatico-893637310,2
"Carros, vans e utilitários",TOYOTA COROLLA ALTIS PREM. HYBRID 1.8 FLEX AUT,TOYOTA,Sedã,2021,16000,1.8,Flex,Automático,Elétrica,Branco,4 portas,76900804,Ji-Paraná,Jardim dos Migrantes,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/corolla-altis-hibrido-premium-flex-893634230,2
"Carros, vans e utilitários",CBT JIPE JAVALI 3.0 4X4 DIESEL,CBT JIPE,,2021,3410,,,,,,4 portas,76804012,Porto Velho,São Cristóvão,https://ro.olx.com.br/rondonia/autos-e-pecas/carros-vans-e-utilitarios/maquina-de-furar-poco-893625257,8
