Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,price,url
"Carros, vans e utilitários",NISSAN KICKS SL 1.6 16V FLEXSTAR 5P AUT.,NISSAN,SUV,2020,15700,1.6,Flex,Automático,Elétrica,Prata,4 portas,5,45601052,Itabuna,Lomanto Júnior,102700.0,https://ba.olx.com.br/sul-da-bahia/autos-e-pecas/carros-vans-e-utilitarios/nissan-kicks-sl-1-6-877294152
"Carros, vans e utilitários",JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,JEEP,SUV,2017,71000,2.0 - 2.9,Flex,Automático,Hidráulica,Azul,4 portas,6,41620680,Salvador,Itapuã,99900.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/jeep-conpass-longitude-flex-2-0-894320594
"Carros, vans e utilitários",GM - CHEVROLET HATCH PREM. 1.0 12V TB FLEX 5P AUT,GM - CHEVROLET,Hatch,2021,0,1.0,Flex,Automático,Elétrica,,4 portas,,41100240,Salvador,Pernambués,85000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/novo-onix-premier-turbo-21-21-845002555
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE COMF/HIGHLI. 1.6 MI T.FLEX 8V 4P,VW - VOLKSWAGEN,,2015,93200,,Flex,Manual,,,4 portas,,44001001,Feira de Santana,Centro,33500.0,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/autos-e-pecas/carros-vans-e-utilitarios/voyage-confortline-1-6-flex-2015-861999667
"Carros, vans e utilitários",TOYOTA HILUX CD SRV 4X4 2.8 TDI DIESEL AUT.,TOYOTA,Passeio,2019,40000,2.0 - 2.9,Diesel,Automático,Elétrica,Branco,4 portas,0,40460140,Salvador,Água de Meninos,219900.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/toyota-hilux-cd-srv-4x4-2-8-tdi-diesel-aut-892834736
"Carros, vans e utilitários",JEEP COMPASS LONGITUDE 2.0 4X2 FLEX 16V AUT.,JEEP,Passeio,2019,41000,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 portas,0,40460140,Salvador,Água de Meninos,119900.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-longitude-2-0-4x2-flex-16v-aut-875575733
"Carros, vans e utilitários",HONDA SPORT CVT,HONDA,,2017,79722,2.0 - 2.9,Flex,Automático,Hidráulica,Preto,4 portas,,41730101,Salvador,Paralela,89990.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2-0-16v-flexone-sport-4p-cvt-889294643
"Carros, vans e utilitários",AUDI Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,AUDI,SUV,2017,75000,1.4,Gasolina,Automático,Elétrica,Vermelho,4 portas,3,42700000,Lauro de Freitas,,125000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/q3-ambiente-com-teto-interior-bege-898703332
"Carros, vans e utilitários", ,,,2013,70000,,,,,,,,44000000,Feira De Santana,,35000.0,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/autos-e-pecas/carros-vans-e-utilitarios/off03-punto-sporting-1-8-completo-898703251
"Carros, vans e utilitários",VW - VOLKSWAGEN PARATI 1.0 MI PLUS 16V 4P,VW - VOLKSWAGEN,Hatch,2000,255,1.0,Gasolina,Manual,Mecânica,Branco,4 portas,0,42722150,Lauro de Freitas,Caji,2200.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/vw-parati-g3-898702824
"Carros, vans e utilitários",FIAT ARGO,FIAT,Passeio,2020,58523,1.0,Flex,Manual,Mecânica,Branco,4 portas,7,44033710,Feira de Santana,Eucalipto,54490.0,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-2020-1-0-firefly-flex-drive-manual-881052266
"Carros, vans e utilitários",GM - CHEVROLET ONIX,GM - CHEVROLET,,2018,76133,1.0,Flex,Manual,Hidráulica,Branco,4 portas,2,41820710,Salvador,Caminho das Árvores,40900.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-1-0-mpfi-joy-8v-flex-4p-manual-894616330
"Carros, vans e utilitários",RENAULT SANDERO,RENAULT,Hatch,1982,163407,,Gasolina,,Hidráulica,,4 portas,,41250010,Salvador,São Marcos,25000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/sandero-2012-898702879
"Carros, vans e utilitários",FIAT PALIO 1.0/ TROFEO 1.0 FIRE/ FIRE FLEX 4P,FIAT,Passeio,2016,81077,1.0,Flex,Manual,Hidráulica,Branco,4 portas,9,40460120,Salvador,Água de Meninos,35900.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-attractive-1-0-evo-flex-845307305
"Carros, vans e utilitários",FIAT FIORINO,FIAT,,2020,7581,1.4,Flex,Manual,Hidráulica,Branco,2 portas,2,41820710,Salvador,Caminho das Árvores,72900.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-fiorino-1-4-mpi-furgao-hard-working-8v-flex-2p-manual-863087597
"Carros, vans e utilitários",HYUNDAI I30 2.0 16V 145CV 5P AUT.,HYUNDAI,Hatch,2012,35000,2.0 - 2.9,Gasolina,Automático,Elétrica,Prata,4 portas,2,40420280,Salvador,Ribeira,44990.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/i30-automatico-12-12-com-teto-o-mais-novo-do-brasil-896560003
"Carros, vans e utilitários",RENAULT SANDERO,RENAULT,Hatch,1983,163407,,Gasolina,,Hidráulica,,4 portas,,41250010,Salvador,São Marcos,25000.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/sandero-2012-898702075
"Carros, vans e utilitários",FIAT ARGO DRIVE 1.3 8V FLEX,FIAT,Hatch,2019,49000,1.3,Flex,Manual,Elétrica,Prata,4 portas,6,40280000,Salvador,Parque Bela Vista,56990.0,https://ba.olx.com.br/grande-salvador/autos-e-pecas/carros-vans-e-utilitarios/fiat-argo-drive-1-3-flex-2019-luciano-andrade-889460846
"Carros, vans e utilitários",BMW 330I M SPORT 2.0 TB 16V 4P,BMW,Sedã,2020,1500,2.0 - 2.9,Gasolina,Automático,Hidráulica,Branco,4 portas,0,44033710,Feira de Santana,Eucalipto,299000.0,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/autos-e-pecas/carros-vans-e-utilitarios/bmw-330i-2020-881376423
"Carros, vans e utilitários",HYUNDAI HB20 PREMIUM 1.6 FLEX 16V MEC.,HYUNDAI,Hatch,2013,90000,1.6,Flex,Manual,Hidráulica,Azul,4 portas,7,44500000,Castro Alves,,35000.0,https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/autos-e-pecas/carros-vans-e-utilitarios/veiculo-898702070
