Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,CEP,Município,Bairro,price,url,Portas,Final de placa
"Carros, vans e utilitários",GM - CHEVROLET CORSA SEDAN 1.0 MPFI 8V 71CV 4P,GM - CHEVROLET,Sedã,2013,105000,1.0,Flex,Manual,Hidráulica,Cinza,57035190,Maceió,Ponta Verde,23500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/classic-1-0-2013-895769914,4 portas,3
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2020,26762,1.0,Flex,Manual,Hidráulica,Preto,57057057,Maceió,Pinheiro,69000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-2020-lt4-895769898,4 portas,6
"Carros, vans e utilitários",GM - CHEVROLET ONIX HATCH LT 1.0 8V FLEXPOWER 5P MEC.,GM - CHEVROLET,Hatch,2015,90000,1.0,Flex,Manual,Hidráulica,Branco,57063000,Maceió,Santa Amélia,39000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/onix-2015-lt-890677001,4 portas,7
"Carros, vans e utilitários",VW - VOLKSWAGEN POLO,VW - VOLKSWAGEN,Passeio,2020,29700,1.6,Flex,Manual,Mecânica,Prata,57938000,Paripueira,Centro,64790.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-2020-1-6-msi-total-flex-manual-868433115,4 portas,1
"Carros, vans e utilitários",FIAT PALIO ELX 1.6 MPI 16V 4P,FIAT,Hatch,1999,2000000,1.6,Gasolina,Manual,Hidráulica,Branco,57046350,Maceió,Serraria,3000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/palio-99-895754557,4 portas,9
"Carros, vans e utilitários",VW - VOLKSWAGEN KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW - VOLKSWAGEN,Passeio,2010,0,1.4,Flex,Manual,Hidráulica,Branco,57082820,Maceió,Santa Lúcia,18000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/kombi-895757934,2 portas,9
"Carros, vans e utilitários",GM - CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,GM - CHEVROLET,Sedã,2016,24000,1.0,Flex,Manual,Hidráulica,Cinza,57230000,Coruripe,,32000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/vendo-ou-troco-classic-895750011,4 portas,0
"Carros, vans e utilitários",GM - CHEVROLET CELTA SPIRIT/ LT 1.0 MPFI 8V FLEXP. 5P,GM - CHEVROLET,Hatch,2014,79850,1.0,Flex,Manual,Hidráulica,Preto,57260000,Limoeiro de Anadia,,27000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/celta-2014-895753314,4 portas,9
"Carros, vans e utilitários",JEEP GRAND CHEROKEE LAREDO 3.6 4X4 V6 AUT.,JEEP,SUV,2014,74000,3.0 - 3.9,Gasolina,Automático,Hidráulica,Branco,57035100,Maceió,Ponta Verde,103000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/jeep-grand-cherokee-4x4-286cv-2014-74-000-km-rodados-vistoria-cautelar-feita-890084564,4 portas,7
"Carros, vans e utilitários",BUGRE BUGGY,BUGRE,Antigo,1989,56000,1.3,Gasolina,Manual,Mecânica,Vermelho,57050050,Maceió,Farol,26000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/tanger-cabriolet-1989-novissimo-extraordinario-895751365,2 portas,1
"Carros, vans e utilitários",GM - CHEVROLET CHEVETTE L / SL / SL/E / DL / SE 1.6,GM - CHEVROLET,Sedã,1988,11111,1.6,Álcool,Manual,Mecânica,Azul,57246020,São Miguel dos Campos,Hélio Jatobá,2800.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/chevette-88-895744100,2 portas,3
"Carros, vans e utilitários",FORD FOCUS SEDAN 2.0 16V/2.0 16V FLEX 4P AUT.,FORD,Sedã,2009,78220,2.0 - 2.9,Gasolina,Automático,Hidráulica,Prata,57035700,Maceió,Jatiúca,26500.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/fabao-veiculos-focus-sedan-2-0-aut-883665167,4 portas,0
"Carros, vans e utilitários",FIAT PALIO ATTRA. BEST SELLER 1.4 EVO FLEX 5P,FIAT,Van/Utilitário,2014,0,1.4,Flex,Manual,Hidráulica,Branco,57073470,Maceió,Cidade Universitária,,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/aluga-se-palio-1-4-2014-para-uber-895739642,4 portas,8
"Carros, vans e utilitários",GM - CHEVROLET SONIC SED. LT 1.6 16V FLEXPOWER 4P AUT.,GM - CHEVROLET,Hatch,2013,72000,1.6,Flex,Automático,Hidráulica,Preto,57057550,Maceió,Pinheiro,32990.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/sonic-lt-2013-extra-895733257,4 portas,6
"Carros, vans e utilitários",NISSAN FRONTIER SE ATTACK CD 4X4 2.5 TB DIESEL,NISSAN,Pick-up,2020,16900,2.0 - 2.9,Diesel,Automático,Hidráulica,Azul,57035330,Maceió,Ponta Verde,194900.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/nissan-frontier-attack-4x-4-895732572,4 portas,3
"Carros, vans e utilitários",TOYOTA ETIOS XS 1.5 FLEX 16V 5P AUT.,TOYOTA,Hatch,2018,61000,1.5,Flex,Automático,Elétrica,Prata,57052400,Maceió,Gruta de Lourdes,52000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/toyota-etios-1-5-xs-aut-2018-895733093,4 portas,
"Carros, vans e utilitários",HONDA CR-V LX 2.0 16V 2WD/2.0 FLEXONE AUT.,HONDA,SUV,2009,130000,2.0 - 2.9,Flex,Automático,Hidráulica,Prata,57057020,Maceió,Pinheiro,41000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/cr-v-lx-2009-aut-895719587,4 portas,
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE,VW - VOLKSWAGEN,Passeio,2019,50643,1.6,Flex,Manual,Hidráulica,Prata,57938000,Paripueira,Centro,50590.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-voyage-1-6-msi-totalflex-4p-manual-846842184,4 portas,2
"Carros, vans e utilitários",GM - CHEVROLET COBALT LTZ 1.8 8V ECONO.FLEX 4P AUT.,GM - CHEVROLET,Passeio,2018,32600,1.8,Flex,Automático,Hidráulica,Preto,57083410,Maceió,Antares,,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/cobalt-lzt-2018-completo-pra-voce-858896341,4 portas,0
"Carros, vans e utilitários",FORD KA 1.5 SE PLUS 12V FLEX 5P AUT.,FORD,Hatch,2019,36000,1.5,Flex,Automático,Elétrica,Preto,57300096,Arapiraca,Centro,54000.0,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2019-automatico-895707364,4 portas,7
