Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url,Tipo de veículo
"Carros, vans e utilitários",FIAT PALIO ATTRA./ITALIA 1.4 EVO F.FLEX 8V 5P,FIAT,2013,140000,1.4,Flex,Manual,Hidráulica,,4 portas,0,72250205,Brasília,Ceilândia Norte (Ceilândia),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/palio-attractive-1-4-2013-892477142,Hatch
"Carros, vans e utilitários",MERCEDES-BENZ C-180 1.6 TURBO 16V/FLEX 16V AUT.,MERCEDES-BENZ,2016,69100,,Gasolina,Automático,,Preto,4 portas,2,71250050,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mercedes-c-180-156cv-4p-898559900,Sedã
"Carros, vans e utilitários",VW - VOLKSWAGEN CROSSFOX 1.6 MI TOTAL FLEX 8V 5P,VW - VOLKSWAGEN,2006,0,1.6,Flex,Manual,Hidráulica,Verde,4 portas,,72914505,Águas Lindas de Goiás,Parque da Barragem Setor 06,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/crossfox-2006-1-6-887319017,Hatch
"Carros, vans e utilitários",FIAT TORO FREEDOM 1.8 16V FLEX AUT.,FIAT,2020,0,1.8,Flex,Automático,Elétrica,Branco,4 portas,,71727800,Brasília,Candangolândia,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-toro-freedom-1-8-flex-2021-2021-706237815,Pick-up
"Carros, vans e utilitários",GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,2019,26799,,Flex,Automático,Hidráulica,Branco,,1,70297400,Brasília,Asa Sul,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-1-8l-aut-lt-5p-898559872,
"Carros, vans e utilitários",HYUNDAI HB20 C./C.PLUS/C.STYLE 1.6 FLEX 16V MEC.,HYUNDAI,2017,26250,1.6,Flex,Manual,Elétrica,Prata,4 portas,6,72251610,Brasília,Ceilândia Norte (Ceilândia),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-confort-plus-1-6-manual-898558514,Hatch
"Carros, vans e utilitários",MERCEDES-BENZ C-250 AVANTGARDE 2.0 TB 211CV AUT.,MERCEDES-BENZ,2017,40961,,Gasolina,Automático,Elétrica,Prata,4 portas,1,71215100,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mercedes-c250-advantgard-2-0-894030127,Sedã
"Carros, vans e utilitários",VW - VOLKSWAGEN GOLF HIGHLINE 1.4 TSI TOTAL FLEX AUT.,VW - VOLKSWAGEN,2017,77130,1.4,Flex,Automático,Elétrica,Prata,4 portas,7,72035509,Brasília,Taguatinga Sul (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-highline-16-17-super-conservado-carro-para-cliente-exigentes-895331920,Hatch
"Carros, vans e utilitários", ,,2014,130000,,,,,Outra,,,71720021,Brasília,Núcleo Bandeirante,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-x1-14-14-x-line-unica-no-brasil-838474959,
"Carros, vans e utilitários",MINI ONE 1.2 12V TURBO 2P MEC.,MINI,2015,29000,1.2,Gasolina,Manual,Mecânica,Preto,2 portas,3,71250035,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mini-one-1-2-km-baixa-2015-877064445,
"Carros, vans e utilitários",FORD VERONA GL 1.8I / LX 1.8I 4P,FORD,1994,12345,1.8,Álcool,Manual,Mecânica,Azul,4 portas,0,72548230,Brasília,Santa Maria,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/verona-1-8-898558274,Sedã
"Carros, vans e utilitários",FORD KA 1.0 SE 12V FLEX 4P MANUAL,FORD,2019,70000,1.0,Flex,Manual,Elétrica,Outra,4 portas,9,72015000,Brasília,Taguatinga Sul (Taguatinga),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2019-898558297,Sedã
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE TRENDLINE 1.6 T.FLEX 8V 4P,VW - VOLKSWAGEN,2017,117300,1.6,Flex,Manual,Hidráulica,Prata,4 portas,8,71515800,Brasília,Setor de Habitações Individuais Norte,https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/voyage-2017-1-6-completo-898558055,Sedã
"Carros, vans e utilitários",MITSUBISHI PAJERO TR4 2.0 FLEX 16V 4X2 AUT.,MITSUBISHI,2013,132177,,Flex,Automático,,,4 portas,0,71250030,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/pajero-tr4-2012-2013-2-0-4x2-16v-140cv-flex-4p-automatico-883255836,Passeio
"Carros, vans e utilitários",FIAT 147,FIAT,1975,33333,,Gasolina,,,Branco,,,71996375,Brasília,Setor Habitacional Arniqueira (Águas Claras),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-147-898557855,Antigo
"Carros, vans e utilitários",VW - VOLKSWAGEN VOYAGE  TRENDLINE 1.0 T.FLEX 8V 4P,VW - VOLKSWAGEN,2015,135742,1.0,Flex,Manual,Hidráulica,Prata,4 portas,3,71250220,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/voyage-trendline-1-0-2014-2015-885106954,Sedã
