Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,CEP,Município,Bairro,url
"Carros, vans e utilitários",FIAT PUNTO ATTRACTIVE 1.4 FIRE FLEX 8V 5P,FIAT,Hatch,2015,1,1.4,Gás Natural,Manual,Hidráulica,Cinza,4 portas,1,22740366,Rio de Janeiro,Pechincha,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-punto-completissimo-de-fabrica-e-gnv-880025096
"Carros, vans e utilitários",HONDA HR-V EX 1.8 FLEXONE 16V 5P AUT.,HONDA,,2017,49000,1.8,Flex,Automático,Hidráulica,Branco,4 portas,,24456180,São Gonçalo,Trindade,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-hrv-2017-898511165
"Carros, vans e utilitários",GM - CHEVROLET SPIN ACTIV7 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,Passeio,2020,40698,,Flex,Automático,,,4 portas,8,21341331,Rio de Janeiro,Madureira,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spin-2019-2020-1-8-activ7-8v-flex-4p-automatico-810160465
"Carros, vans e utilitários",GM - CHEVROLET CORSA,GM - CHEVROLET,Sedã,2006,2,1.0,Flex,Manual,Hidráulica,Branco,4 portas,2,21750120,Rio de Janeiro,Magalhães Bastos,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vendo-corsa-maxx-2006-completo-ipva-gnv-transferencia-898511539
"Carros, vans e utilitários",GM - CHEVROLET ZAFIRA COMFORT 2.0 MPFI FLEXPOWER 8V 5P,GM - CHEVROLET,SUV,2012,265000,2.0 - 2.9,Flex,Manual,Hidráulica,Preto,4 portas,2,22780240,Rio de Janeiro,Jacarepaguá,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/zafira-2011-12-898511394
"Carros, vans e utilitários",FIAT SIENA HLX 1.8 MPI FLEX 8V 4P,FIAT,Sedã,2007,215000,1.8,Flex,Manual,Hidráulica,Prata,4 portas,6,28970000,Araruama,,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/siena-2007-hlx-1-8-completo-sem-entrada-oportunidade-891328768
"Carros, vans e utilitários",LAND ROVER RANGE ROVER EVOQUE PURE TECH 2.0 AUT. 3P,LAND ROVER,SUV,2012,50000,2.0 - 2.9,Gasolina,Automático,Elétrica,Prata,4 portas,,21331720,Rio de Janeiro,Oswaldo Cruz,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/evoque-pure-sem-teto-panoramico-891734388
"Carros, vans e utilitários",GM - CHEVROLET AGILE,GM - CHEVROLET,Passeio,2011,85113,1.4,Gás Natural,Manual,Mecânica,Prata,4 portas,0,21320060,Rio de Janeiro,Campinho,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-agile-2011-1-4-mpfi-ltz-8v-flex-4p-manual-898511037
"Carros, vans e utilitários",MITSUBISHI L200,MITSUBISHI,Passeio,2019,14000,2.0 - 2.9,Diesel,Automático,Hidráulica,Outra,4 portas,4,20560001,Rio de Janeiro,Vila Isabel,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-l200-triton-2019-2-4-16v-turbo-diesel-sport-hpe-cd-4p-4x4-automatico-886229378
"Carros, vans e utilitários",HONDA HR-V EX 1.8 FLEXONE 16V 5P AUT.,HONDA,SUV,2016,43000,1.8,Flex,Automático,Elétrica,Outra,4 portas,1,22631370,Rio de Janeiro,Barra da Tijuca,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hrv-ex-2016-unico-dono-43m-rodados-898510767
"Carros, vans e utilitários",GM - CHEVROLET AGILE LTZ 1.4 MPFI 8V FLEXPOWER 5P,GM - CHEVROLET,Hatch,2011,140000,1.4,Flex,Manual,Hidráulica,Prata,4 portas,3,28970000,Araruama,,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-agile-1-4-ltz-2011-868509058
"Carros, vans e utilitários",FORD KA 1.0 SE/SE PLUS TIVCT FLEX 5P,FORD,Hatch,2019,55000,1.0,Flex,Manual,Elétrica,Vermelho,4 portas,3,24210510,Niterói,Ingá,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-plus-1-0-manual-completo-887219143
"Carros, vans e utilitários",HYUNDAI CRETA ACTION 1.6 16V FLEX AUT,HYUNDAI,SUV,2021,0,1.6,Flex,Automático,Elétrica,Branco,4 portas,,28981370,"São Vicente De Paula, Araruama",São Vicente De Paula,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/creta-action-1-6-flex-aut-2021-2021-898510801
"Carros, vans e utilitários",FIAT STRADA,FIAT,Passeio,2015,65251,1.8,Flex,Automático,Mecânica,Branco,2 portas,7,21320060,Rio de Janeiro,Campinho,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2015-1-8-mpi-adventure-cd-16v-flex-3p-automatico-898510603
"Carros, vans e utilitários",CITROEN C3 EXCL. 1.6 VTI FLEX START 16V 5P AUT.,CITROEN,Hatch,2013,80200,1.6,Flex,Automático,Elétrica,Preto,4 portas,4,21310160,Rio de Janeiro,Madureira,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/citr-en-c3-2013-modelo-mais-completo-modelo-exclusive-887860933
"Carros, vans e utilitários",GM - CHEVROLET CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT.,GM - CHEVROLET,Sedã,2017,35000,1.4,Flex,Automático,Elétrica,Cinza,4 portas,5,21750121,Rio de Janeiro,Magalhães Bastos,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cruze-ltz-turbo-2017-automatico-flex-892781011
"Carros, vans e utilitários",GM - CHEVROLET SPIN PREMIER 1.8 8V ECONO.FLEX 5P AUT.,GM - CHEVROLET,SUV,2020,38000,1.8,Flex,Automático,Elétrica,Preto,4 portas,9,21330790,Rio de Janeiro,Oswaldo Cruz,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spin-premier-1-8-2020-muito-nova-867887777
"Carros, vans e utilitários",GM - CHEVROLET SPIN LT 1.8 8V ECONO.FLEX 5P MEC.,GM - CHEVROLET,Passeio,2015,187000,1.8,Gás Natural,Manual,Hidráulica,Prata,4 portas,9,21381009,Rio de Janeiro,Quintino Bocaiúva,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/spin-lt-1-8-ex-taxi-completona-gnv-aprovacao-imediata-s-compr-de-renda-783206259
"Carros, vans e utilitários",GM - CHEVROLET CELTA 1.0/SUPER/N.PIQ.1.0 MPFI VHC 8V 3P,GM - CHEVROLET,Hatch,2002,165,1.0,Gasolina,Manual,Mecânica,Prata,2 portas,6,21061257,Rio de Janeiro,Bonsucesso,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-celta-1-0-898510134
"Carros, vans e utilitários",GM - CHEVROLET SPIN,GM - CHEVROLET,Passeio,2018,61000,1.8,Flex,Automático,Hidráulica,Prata,4 portas,9,22730000,Rio de Janeiro,Tanque,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-2018-1-8-activ-8v-flex-4p-automatico-898510221
"Carros, vans e utilitários",GM - CHEVROLET CORSA,GM - CHEVROLET,Hatch,2001,216000,,Gasolina,,,,4 portas,9,28942821,São Pedro da Aldeia,São João,https://rj.olx.com.br/norte-do-estado-do-rio/autos-e-pecas/carros-vans-e-utilitarios/corsa-millenium-hatch-2001-4-p-21-ok-recibo-em-branco-898510289
"Carros, vans e utilitários",FORD RANGER XLS 2.2 4X2 CD DIESEL AUT.,FORD,Passeio,2022,0,2.0 - 2.9,Diesel,Automático,Elétrica,Vermelho,4 portas,,22775002,Rio de Janeiro,Barra da Tijuca,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-2-2-xls-4x2-cd-16v-578683148
"Carros, vans e utilitários",HYUNDAI IX35 GL 2.0 16V 2WD FLEX AUT.,HYUNDAI,Passeio,2022,0,,Flex,Automático,,,4 portas,,24358350,Niterói,Piratininga,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-ix35-2-0-mpfi-gl-16v-864758224
"Carros, vans e utilitários",MITSUBISHI PAJERO HPE FULL 3.2 4X4 T.I.DIES. 5P AUT,MITSUBISHI,SUV,2018,60000,3.0 - 3.9,Diesel,Automático,Hidráulica,,4 portas,,22790704,Rio de Janeiro,Recreio dos Bandeirantes,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/mitsubishi-pajero-full-diesel-2018-blindado-870007921
"Carros, vans e utilitários",HYUNDAI HB20S,HYUNDAI,Passeio,2014,89000,1.0,Flex,Manual,Hidráulica,Preto,4 portas,4,21050454,Rio de Janeiro,Maria da Graça,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20s-2014-1-0-comfort-plus-12v-flex-4p-manual-887221659
"Carros, vans e utilitários",HYUNDAI I30 1.8 16V AUT. 5P,HYUNDAI,Hatch,2015,50000,1.8,Gasolina,Automático,Elétrica,Preto,4 portas,7,20560095,Rio de Janeiro,Vila Isabel,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/i30-1-8-16v-150cv-2015-893474472
